k141_1851,1279,2
k141_1852,11326,8
k141_8080,9125,7
k141_3596,61124,32
k141_8082,4455,1
k141_8086,6368,4
k141_8087,3518,0
k141_3598,18045,9
k141_13384,129430,79
k141_1854,12048,8
k141_13385,1342,2
k141_13387,1330,1
k141_13388,1053,1
k141_13389,12134,10
k141_11589,107816,91
k141_3599,3490,4
k141_12526,49874,24
k141_12527,6431,4
k141_3601,24108,15
k141_13390,30284,14
k141_4466,68384,45
k141_4467,2059,0
k141_10691,38610,21
k141_938,64795,34
k141_4473,1083,1
k141_943,4634,3
k141_13391,22911,18
k141_6283,76496,48
k141_13397,3491,2
k141_12531,3237,1
k141_1855,37281,19
k141_13398,1457,2
k141_6285,1055,1
k141_1857,1078,1
k141_3605,11447,7
k141_12533,8479,5
k141_1859,7648,7
k141_8088,55544,28
k141_12534,17858,9
k141_6288,1020,0
k141_6290,1030,1
k141_6293,2444,0
k141_944,16769,12
k141_947,8937,4
k141_4480,34084,22
k141_948,6384,3
k141_3606,30679,22
k141_951,1313,0
k141_12535,23485,17
k141_12537,1245,0
k141_953,12123,10
k141_6296,29280,20
k141_11592,67069,33
k141_4483,11284,8
k141_11593,1067,2
k141_11594,2060,0
k141_11596,1202,1
k141_11597,1059,0
k141_11600,1239,0
k141_6297,9103,7
k141_4485,8622,5
k141_11604,1011,0
k141_4487,3851,0
k141_4489,1558,1
k141_4491,1419,0
k141_3610,28783,18
k141_3612,12882,5
k141_11607,5137,2
k141_4494,1315,2
k141_11609,1862,3
k141_4497,1213,0
k141_12539,23753,8
k141_13400,142400,79
k141_954,18806,13
k141_12540,2160,0
k141_13401,2344,2
k141_955,1927,2
k141_4498,5876,2
k141_66,143368,96
k141_957,1302,1
k141_68,4201,3
k141_70,1310,1
k141_13405,6453,2
k141_13406,1996,0
k141_6301,26214,13
k141_6302,1218,1
k141_11611,17949,15
k141_3614,2907,1
k141_958,18725,8
k141_3617,5767,3
k141_8913,198716,127
k141_5377,272512,138
k141_1861,86392,55
k141_1862,1130,2
k141_4499,42688,22
k141_1863,1526,1
k141_1864,1524,1
k141_4500,1791,2
k141_5384,1096,2
k141_4503,1315,0
k141_5389,1010,0
k141_5393,1010,2
k141_5395,1353,3
k141_71,10195,4
k141_6303,11207,4
k141_5398,1029,1
k141_6304,1226,0
k141_13408,45502,25
k141_8914,1527,1
k141_8915,1549,1
k141_13409,3811,3
k141_959,19043,10
k141_13410,4488,2
k141_8916,6921,6
k141_8917,1795,0
k141_13411,2214,0
k141_13412,3309,2
k141_10693,65941,37
k141_5400,1206,1
k141_10694,1213,0
k141_10695,2018,3
k141_10698,2900,1
k141_12543,24500,10
k141_74,3569,3
k141_12544,2390,1
k141_13413,17607,5
k141_2696,263327,144
k141_13414,1968,0
k141_2699,1063,2
k141_3621,27572,23
k141_13415,4608,5
k141_3623,1037,1
k141_8089,111781,66
k141_3624,2749,2
k141_8923,2264,2
k141_3626,1193,1
k141_3627,1657,0
k141_13416,9113,5
k141_13417,1309,0
k141_9807,353345,238
k141_5402,21987,8
k141_9810,1125,0
k141_4504,65016,35
k141_13418,7914,5
k141_4505,1926,0
k141_8924,4281,2
k141_8925,1192,0
k141_8929,1149,1
k141_11612,48605,46
k141_8932,1085,1
k141_960,16007,12
k141_4506,9044,6
k141_11614,4684,6
k141_11615,5247,4
k141_4508,9675,3
k141_1865,31339,32
k141_13419,3708,3
k141_1866,1217,3
k141_2702,44782,35
k141_1867,2194,0
k141_3628,10540,7
k141_3630,1036,0
k141_9811,2290,2
k141_4510,7679,3
k141_3631,1240,5
k141_3632,1423,8
k141_4512,4504,2
k141_5403,11159,11
k141_4514,3170,3
k141_4515,1182,2
k141_4518,1588,2
k141_5408,4545,0
k141_4520,4171,1
k141_4521,2306,2
k141_2704,23510,13
k141_77,32410,25
k141_11617,5325,12
k141_80,1251,1
k141_2706,3314,1
k141_4526,3449,0
k141_13422,23986,10
k141_13429,1782,4
k141_9819,10098,6
k141_5412,1242,1
k141_5413,1047,0
k141_7159,302985,180
k141_9822,4275,3
k141_2708,23752,8
k141_969,16603,7
k141_8091,46285,30
k141_10699,65019,42
k141_10700,1961,0
k141_1870,25787,17
k141_12550,52627,33
k141_9824,7844,8
k141_7161,9306,6
k141_7162,1079,1
k141_13432,15759,13
k141_9827,1472,0
k141_13433,1354,0
k141_7165,1301,2
k141_9828,1261,2
k141_11618,37644,18
k141_7173,1194,0
k141_7174,1190,0
k141_11619,8158,2
k141_83,50444,25
k141_5415,20441,19
k141_10703,19687,8
k141_1871,17460,13
k141_7175,11865,9
k141_7176,1958,0
k141_13435,21051,16
k141_86,4057,0
k141_13436,1316,0
k141_13437,3060,1
k141_1873,2970,1
k141_1874,1164,0
k141_1875,4282,3
k141_3638,79647,46
k141_3642,1001,0
k141_3644,1319,0
k141_9831,31236,17
k141_970,46361,33
k141_3650,1123,1
k141_3651,1073,0
k141_11621,51100,24
k141_7177,42126,21
k141_11622,1451,1
k141_2714,156825,91
k141_2717,10447,4
k141_3653,13392,8
k141_2718,1878,0
k141_2721,1147,1
k141_6305,101450,65
k141_6306,4052,5
k141_10705,57149,35
k141_10706,1034,0
k141_1877,21737,17
k141_10713,4740,4
k141_10714,1516,1
k141_7178,13393,9
k141_9837,23043,14
k141_9838,1438,0
k141_2722,43611,24
k141_7179,23144,13
k141_7180,1156,1
k141_88,77637,37
k141_7181,1025,1
k141_3654,26633,9
k141_3656,1334,1
k141_3657,3647,3
k141_3658,5146,3
k141_1881,21994,15
k141_971,41048,24
k141_93,2909,3
k141_95,1930,1
k141_7184,6575,6
k141_2723,50569,32
k141_1886,1488,0
k141_96,18635,8
k141_12551,80228,54
k141_3659,18034,13
k141_12553,2036,3
k141_3660,3326,3
k141_10715,34762,15
k141_10716,1775,1
k141_10718,1182,0
k141_3666,1399,1
k141_3667,1494,0
k141_8093,139402,95
